"Root"|"Meaning in English"|"Origin language"|"Etymology (root origin)"|"English examples
"|
"<b>magnet-</b><sup id=""cite_ref-75"" class=""reference""><a href=""#cite_note-75"">[75]</a></sup>"|""|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%AC%CE%B3%CE%BD%CE%B7%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:μάγνης"">μάγνης, μάγνητος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>mágnēs, mágnētos</i></span>)"|"<a href=""/wiki/Bioelectromagnetism"" class=""mw-redirect"" title=""Bioelectromagnetism"">bioelectromagnetism</a>, <a href=""/wiki/Biomagnetism"" title=""Biomagnetism"">biomagnetism</a>, <a href=""/wiki/Diamagnetic"" class=""mw-redirect"" title=""Diamagnetic"">diamagnetic</a>, <a href=""/wiki/Diamagnetism"" title=""Diamagnetism"">diamagnetism</a>, <a href=""/wiki/Electromagnet"" title=""Electromagnet"">electromagnet</a>, <a href=""/wiki/Geomagnetic"" class=""mw-redirect"" title=""Geomagnetic"">geomagnetic</a>, <a href=""/wiki/Magnesium"" title=""Magnesium"">magnesium</a>, <a href=""/wiki/Magnet"" title=""Magnet"">magnet</a>, magnetic, <a href=""/wiki/Magnetism"" title=""Magnetism"">magnetism</a>, <a href=""/wiki/Magnetite"" title=""Magnetite"">magnetite</a>, magnetize, <a href=""/wiki/Magnetobiology"" title=""Magnetobiology"">magnetobiology</a>, <a href=""/wiki/Magnetologist"" class=""mw-redirect"" title=""Magnetologist"">magnetologist</a>, <a href=""/wiki/Magnetometer"" title=""Magnetometer"">magnetometer</a>, <a href=""/wiki/Magnetosome"" title=""Magnetosome"">magnetosome</a>, <a href=""/wiki/Manganese"" title=""Manganese"">manganese</a>, <a href=""/wiki/Paramagnetic"" class=""mw-redirect"" title=""Paramagnetic"">paramagnetic</a>, <a href=""/wiki/Paramagnetism"" title=""Paramagnetism"">paramagnetism</a>
"|
"<b>maj-</b>"|"greater"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/maior#Latin"" class=""extiw"" title=""wikt:maior"">major</a></i>, <i><i lang=""la"" title=""Latin language text"">majus</i></i>"|"<a href=""/wiki/Majesty"" title=""Majesty"">majesty</a>, <a href=""/wiki/Major"" title=""Major"">major</a>, <a href=""/wiki/Majority"" title=""Majority"">majority</a>, <a href=""/wiki/Majuscule"" class=""mw-redirect"" title=""Majuscule"">majuscule</a>, <a href=""/wiki/Mayor"" title=""Mayor"">mayor</a>, <a href=""/wiki/Semi-major_axis"" class=""mw-redirect"" title=""Semi-major axis"">semimajor</a>, <a href=""/wiki/Supermajority"" title=""Supermajority"">supermajority</a>
"|
"<b>mal-</b>"|"bad, wretched"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/malus#Latin"" class=""extiw"" title=""wikt:malus"">malus</a></i>"|"dismal, grand mal, malady, malaise, malediction, malefaction, malevolent, <a href=""/wiki/Malfeasance"" class=""mw-redirect"" title=""Malfeasance"">malfeasance</a>, malfunction, <a href=""/wiki/Malice_(law)"" title=""Malice (law)"">malice</a>, malicious, <a href=""/wiki/Malignancy"" title=""Malignancy"">malignancy</a>, malnourished, malodorous, premalignant
"|
"<b>mamm-</b>"|"breast"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/mamma#Latin"" class=""extiw"" title=""wikt:mamma"">mamma</a></i>"|"<a href=""/wiki/Mammal"" title=""Mammal"">mammal</a>, <a href=""/wiki/Mammary_gland"" title=""Mammary gland"">mammary</a>
"|
"<b>man-</b>, <b>mant-</b><sup id=""cite_ref-76"" class=""reference""><a href=""#cite_note-76"">[76]</a></sup> (ΜΑΝ)<sup id=""cite_ref-77"" class=""reference""><a href=""#cite_note-77"">[77]</a></sup>"|"crazy"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%B1%CE%AF%CE%BD%CE%BF%CE%BC%CE%B1%CE%B9#Ancient_Greek"" class=""extiw"" title=""wikt:μαίνομαι"">μαίνεσθαι</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>maínesthai</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%B1%CE%BD%CE%AF%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:μανία"">μανία</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>manía</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">μανικός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>manikós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">μάντις</span>"|"<a href=""/wiki/Hypermania"" class=""mw-redirect"" title=""Hypermania"">hypermania</a>, <a href=""/wiki/Hypomania"" title=""Hypomania"">hypomania</a>, <a href=""/wiki/Kleptomania"" title=""Kleptomania"">kleptomania</a>, <a href=""/wiki/Mania"" title=""Mania"">mania</a>, maniac, manic, <a href=""/wiki/Megalomania"" class=""mw-redirect"" title=""Megalomania"">megalomania</a>, <a href=""/wiki/Monomania"" title=""Monomania"">monomania</a>, <a href=""/wiki/Pyromania"" title=""Pyromania"">pyromania</a>, <a href=""/wiki/Pyromaniac"" class=""mw-redirect"" title=""Pyromaniac"">pyromaniac</a>
"|
"<b>man-</b>"|"flow"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/mano#Latin"" class=""extiw"" title=""wikt:mano"">mānāre</a></i>, <i><i lang=""la"" title=""Latin language text"">mānātus</i></i>"|"emanant, emanate, <a href=""/wiki/Emanationism"" title=""Emanationism"">emanation</a>, <a href=""/wiki/Immanant"" title=""Immanant"">immanant</a>, immanation
"|
"<b>man-</b> (MAN-)<sup id=""cite_ref-78"" class=""reference""><a href=""#cite_note-78"">[78]</a></sup>"|"stay"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/maneo#Latin"" class=""extiw"" title=""wikt:maneo"">manēre</a></i>, <i><i lang=""la"" title=""Latin language text"">mansus</i></i>"|"<a href=""/wiki/Immanence"" title=""Immanence"">immanence</a>, immanent, impermanence, impermanent, <a href=""/wiki/Apartment#Maisonette"" title=""Apartment"">maisonette</a>, manor, manorial, manse, mansion, ménage, <a href=""/wiki/Menagerie"" title=""Menagerie"">menagerie</a>, menial, meiny, <a href=""/wiki/Messuage"" class=""mw-redirect"" title=""Messuage"">messuage</a>, nonpermanence, nonpermanent, permanence, permanent, quasipermanent, remain, remainder, <a href=""/wiki/Remanence"" title=""Remanence"">remanence</a>, remanent, remnant, semipermanent
"|
"<b>man-</b>, <b>manu-</b>"|"<a href=""/wiki/Hand"" title=""Hand"">hand</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/manus#Latin"" class=""extiw"" title=""wikt:manus"">manus</a></i>"|"adminicle, <a href=""/wiki/Amanuensis"" title=""Amanuensis"">amanuensis</a>, <a href=""/wiki/Bimana"" class=""mw-redirect"" title=""Bimana"">Bimana</a>, bimanous, bimanual, emancipate, mainour, maintain, <a href=""/wiki/Manacle"" class=""mw-redirect"" title=""Manacle"">manacle</a>, manage, manageable, management, managerial, <a href=""/wiki/Mandamus"" title=""Mandamus"">mandamus</a>, mandate, manège, maneuver, <a href=""/wiki/Manicure"" title=""Manicure"">manicure</a>, manifer, manifest, manifestation, manifesto, maniform, <a href=""/wiki/Maniple_(military_unit)"" title=""Maniple (military unit)"">maniple</a>, manipulation, manipulative, <a href=""/wiki/Maniraptora"" title=""Maniraptora"">maniraptoran</a>, <a href=""/wiki/Maniraptoriform"" class=""mw-redirect"" title=""Maniraptoriform"">maniraptoriform</a>, manner, mansuetude, manual, manuary, manubrial, <a href=""/wiki/Manubrium"" class=""mw-redirect"" title=""Manubrium"">manubrium</a>, manuduction, <a href=""/wiki/Manufacturing"" title=""Manufacturing"">manufacture</a>, manumission, manumit, <a href=""/wiki/Manuport"" title=""Manuport"">manuport</a>, manure, manus, <a href=""/wiki/Manuscript"" title=""Manuscript"">manuscript</a>, mortmain, <a href=""/wiki/Quadrumana"" title=""Quadrumana"">Quadrumana</a>, quadrumanous
"|
"<b>mand-</b>, <span class=""nowrap""><b>-mend-</b></span>"|"order, commit"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/mando#Latin"" class=""extiw"" title=""wikt:mando"">mandāre</a></i>, <i><i lang=""la"" title=""Latin language text"">mandātus</i></i>"|"command, commandant, commandment, commend, commendable, commendam, commendation, commendatory, counterdemand, countermand, demand, demandant, <a href=""/wiki/Encomienda"" title=""Encomienda"">encomienda</a>, <a href=""/wiki/Mandamus"" title=""Mandamus"">mandamus</a>, mandatary, mandate, mandator, mandatory, recommend, recommendation, remand, remandment
"|
"<b>mar-</b>"|"<a href=""/wiki/Sea"" title=""Sea"">sea</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/mare#Latin"" class=""extiw"" title=""wikt:mare"">mare</a></i>, <i><i lang=""la"" title=""Latin language text"">maris</i></i>"|"<a href=""/wiki/Maar"" title=""Maar"">maar</a>, <a href=""/wiki/Mariculture"" title=""Mariculture"">mariculture</a>, <a href=""/wiki/Marina"" title=""Marina"">marina</a>, <a href=""/wiki/Marinade"" class=""mw-redirect"" title=""Marinade"">marinade</a>, <a href=""/wiki/Marinara_sauce"" title=""Marinara sauce"">marinara</a>, <a href=""/wiki/Marinate"" class=""mw-redirect"" title=""Marinate"">marinate</a>, <a href=""/wiki/Marination"" title=""Marination"">marination</a>, marine, <a href=""/wiki/Sailor"" title=""Sailor"">mariner</a>, maritime, <a href=""/wiki/Submarine"" title=""Submarine"">submarine</a>, <a href=""/wiki/Ultramarine"" title=""Ultramarine"">ultramarine</a>
"|
"<b>mas-</b>"|"male, man"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/mas#Latin"" class=""extiw"" title=""wikt:mas"">mās, māris</a></i>, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/masculus#Latin"" class=""extiw"" title=""wikt:masculus"">masculus</a></i>, <i><i lang=""la"" title=""Latin language text"">masculi</i></i>"|"emasculate, emasculation, emasculator, masculate, masculine, masculinity
"|
"<b>mater-</b>, <b>matr-</b>"|"mother"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/mater#Latin"" class=""extiw"" title=""wikt:mater"">mater</a></i>, <i><i lang=""la"" title=""Latin language text"">matris</i></i>"|"maternal, <a href=""/wiki/Maternity"" class=""mw-redirect"" title=""Maternity"">maternity</a>, matrimony, <i lang=""la""><a href=""https://en.wiktionary.org/wiki/matrix#Latin"" class=""extiw"" title=""wikt:matrix"">matrix</a></i>, matron
"|
"<b>maxim-</b>"|"greatest"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/maximus#Latin"" class=""extiw"" title=""wikt:maximus"">maximus</a></i>"|"<a href=""/wiki/Maxim_(philosophy)"" title=""Maxim (philosophy)"">maxim</a>, maximal, <a href=""/wiki/Maxima_and_minima"" title=""Maxima and minima"">maximum</a>, submaximal
"|
"<b>mechan-</b><sup id=""cite_ref-79"" class=""reference""><a href=""#cite_note-79"">[79]</a></sup>"|"<a href=""/wiki/Machine"" title=""Machine"">machine</a> or instrument"|"Greek"|"<span lang=""grc"" title=""Ancient Greek (to 1453) language text"">μῆχος</span>, <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%B7%CF%87%CE%B1%CE%BD%CE%AE#Ancient_Greek"" class=""extiw"" title=""wikt:μηχανή"">μηχανή</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>mēkhanḗ</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">μηχανικός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>mēkhanikós</i></span>)"|"<a href=""/wiki/Machine"" title=""Machine"">machine</a>, <a href=""/wiki/Mechane"" title=""Mechane"">mechane</a>, <a href=""/wiki/Mechanics"" title=""Mechanics"">mechanics</a>, mechanism, mechanize, <a href=""/wiki/Mechanobiology"" title=""Mechanobiology"">mechanobiology</a>, <a href=""/wiki/Mechanophilia"" title=""Mechanophilia"">mechanophilia</a>, <a href=""/wiki/Mechanophobia"" title=""Mechanophobia"">mechanophobia</a>
"|
"<b>medi-</b>, <span class=""nowrap""><b>-midi-</b></span>"|"middle"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/medius#Latin"" class=""extiw"" title=""wikt:medius"">medius</a></i>, <i><i lang=""la"" title=""Latin language text"">mediare</i></i>"|"<a href=""/wiki/Dimidiation"" title=""Dimidiation"">dimidiation</a>, immediate, intermediary, <a href=""/wiki/Mean"" title=""Mean"">mean</a>, media, <a href=""/wiki/Median"" title=""Median"">median</a>, mediate, <a href=""/wiki/Mediation"" title=""Mediation"">mediation</a>, <a href=""/wiki/Medieval"" class=""mw-redirect"" title=""Medieval"">medieval</a>, mediocre, Mediterranean, medium, <a href=""/wiki/Moiety_title"" title=""Moiety title"">moiety</a>, <a href=""/wiki/Multimedia"" title=""Multimedia"">multimedia</a>, postmeridian, <a href=""/wiki/Submediant"" title=""Submediant"">submediant</a>
"|
"<b>meg-</b>, <b>megal-</b><sup id=""cite_ref-80"" class=""reference""><a href=""#cite_note-80"">[80]</a></sup>"|"great, large"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%AD%CE%B3%CE%B1%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:μέγας"">μέγας, μεγάλου</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>mégas, megálou</i></span>)"|"<a href=""/wiki/Acromegaly"" title=""Acromegaly"">acromegaly</a>, <a href=""/wiki/Megacles"" title=""Megacles"">Megacles</a>, megacycle, <a href=""/wiki/Megalomania"" class=""mw-redirect"" title=""Megalomania"">megalomania</a>, <a href=""/wiki/Megalopolis_(city_type)"" class=""mw-redirect"" title=""Megalopolis (city type)"">megalopolis</a>, <a href=""/wiki/Megaphone"" title=""Megaphone"">megaphone</a>
"|
"<b>mei-</b><sup id=""cite_ref-81"" class=""reference""><a href=""#cite_note-81"">[81]</a></sup>"|"less"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%B5%E1%BF%96%CE%BF%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:μεῖον"">μεῖον</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>meîon</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%B5%CE%AF%CF%89%CF%83%CE%B9%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:μείωσις"">μείωσις</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>meíōsis</i></span>)"|"ameiosis, ameiotic, <a href=""/wiki/Meiobenthos"" title=""Meiobenthos"">meiobenthos</a>, <a href=""/wiki/Meiosis"" title=""Meiosis"">meiosis</a>, meiotic
"|
"<b>melan-</b><sup id=""cite_ref-82"" class=""reference""><a href=""#cite_note-82"">[82]</a></sup>"|"<a href=""/wiki/Black"" title=""Black"">black</a>, <a href=""/wiki/Dark"" class=""mw-redirect"" title=""Dark"">dark</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%AD%CE%BB%CE%B1%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:μέλας"">μέλας, μέλανος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>mélas, mélanos</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">μελανότης</span>"|"<a href=""/wiki/Amelanism"" title=""Amelanism"">amelanism</a>, aphaeomelanism, <a href=""/wiki/Eumelanin"" class=""mw-redirect"" title=""Eumelanin"">eumelanin</a>, <a href=""/wiki/Hypermelanic"" class=""mw-redirect"" title=""Hypermelanic"">hypermelanic</a>, melancholic, melancholy, <a href=""/wiki/Melanesia"" title=""Melanesia"">Melanesia</a>, <a href=""/wiki/Melanin"" title=""Melanin"">melanin</a>, <a href=""/wiki/Melanism"" title=""Melanism"">melanism</a>, <a href=""/wiki/Melanoblastoma"" class=""mw-redirect"" title=""Melanoblastoma"">melanoblastoma</a>, <a href=""/wiki/Melanocyte"" title=""Melanocyte"">melanocyte</a>, <a href=""/wiki/Melanoma"" title=""Melanoma"">melanoma</a>, <a href=""/wiki/Melanophobia"" class=""mw-redirect"" title=""Melanophobia"">melanophobia</a>, <a href=""/wiki/Melanophore"" class=""mw-redirect"" title=""Melanophore"">melanophore</a>, <a href=""/wiki/Melanosis"" title=""Melanosis"">melanosis</a>, <a href=""/wiki/Melatonin"" title=""Melatonin"">melatonin</a>, <a href=""/wiki/Neuromelanin"" title=""Neuromelanin"">neuromelanin</a>, <a href=""/wiki/Pheomelanin"" class=""mw-redirect"" title=""Pheomelanin"">pheomelanin</a>
"|
"<b>melior-</b>"|"better"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/meliorare#Latin"" class=""extiw"" title=""wikt:meliorare"">meliorare</a></i> ""to improve"", from <i lang=""la""><a href=""https://en.wiktionary.org/wiki/melior#Latin"" class=""extiw"" title=""wikt:melior"">melior</a></i> ""better"""|"ameliorate, <i lang=""en""><a href=""https://en.wiktionary.org/wiki/amelioration#English"" class=""extiw"" title=""wikt:amelioration"">amelioration</a></i>, meliorism
"|
"<b>meliss-</b><sup id=""cite_ref-83"" class=""reference""><a href=""#cite_note-83"">[83]</a></sup>"|"<a href=""/wiki/Bee"" title=""Bee"">bee</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%AD%CE%BB%CE%B9%CF%83%CF%83%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:μέλισσα"">μέλισσα</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>mélissa</i></span>)"|"<a href=""/wiki/Melissophobia"" class=""mw-redirect"" title=""Melissophobia"">melissophobia</a>
"|
"<b>mell-</b>"|"<a href=""/wiki/Honey"" title=""Honey"">honey</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/mel#Latin"" class=""extiw"" title=""wikt:mel"">mel</a></i>, <i><i lang=""la"" title=""Latin language text"">mellis</i></i>"|"melliferous, mellific, mellifluence, mellifluent, mellifluous, melliloquent, <a href=""/wiki/Mellivorous"" class=""mw-redirect"" title=""Mellivorous"">mellivorous</a>
"|
"<b>memor-</b>"|"remember"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/memor#Latin"" class=""extiw"" title=""wikt:memor"">memor</a></i>"|"commemorate, immemorial, <a href=""/wiki/Memoir"" title=""Memoir"">memoir</a>, memorabilia, memorable, <a href=""/wiki/Memorandum"" title=""Memorandum"">memorandum</a>, <a href=""/wiki/Memorial"" title=""Memorial"">memorial</a>, <a href=""/wiki/Memory"" title=""Memory"">memory</a>, remembrance
"|
"<b>men-</b>"|"month"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%AE%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:μήν"">μήν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>mḗn</i></span>)"|"<a href=""/wiki/Menopause"" title=""Menopause"">menopause</a>, menorrhea
"|
"<b>mening-</b><sup id=""cite_ref-84"" class=""reference""><a href=""#cite_note-84"">[84]</a></sup>"|"<a href=""/wiki/Membrane"" title=""Membrane"">membrane</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%BC%CE%AE%CE%BD%CE%B9%CE%B3%CE%BE#Ancient_Greek"" class=""extiw"" title=""wikt:μήνιγξ"">μήνιγξ, μῆνιγγος</a></span> (<i>mēninx</i>, mēningos)"|"<a href=""/wiki/Leptomeninges"" class=""mw-redirect"" title=""Leptomeninges"">leptomeninges</a>, <a href=""/wiki/Meninges"" title=""Meninges"">meninges</a>, <a href=""/wiki/Meningioma"" title=""Meningioma"">meningioma</a>, <a href=""/wiki/Meningitis"" title=""Meningitis"">meningitis</a>, <a href=""/wiki/Meninx"" class=""mw-redirect"" title=""Meninx"">meninx</a>
"|
"<b>mend-</b>"|"defect, fault"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/mendax#Latin"" class=""extiw"" title=""wikt:mendax"">mendax</a></i> ""lying, a liar"", from <i lang=""la""><a href=""https://en.wiktionary.org/wiki/menda#Latin"" class=""extiw"" title=""wikt:menda"">menda</a></i> ""defect, fault"""|"amend, amendment, emend, mendacious, mendacity
"|
"<b>menstru-</b>"|"monthly"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/menstruus#Latin"" class=""extiw"" title=""wikt:menstruus"">menstruus</a></i>"|"menstrual, <a href=""/wiki/Menstruation"" title=""Menstruation"">menstruation</a>
"|
"<b>mensur-</b>"|"measure"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/mensura#Latin"" class=""extiw"" title=""wikt:mensura"">mensura</a></i> ""measurement"", from <i lang=""la""><a href=""https://en.wiktionary.org/wiki/metiri#Latin"" class=""extiw"" title=""wikt:metiri"">metiri</a></i> ""to measure"""|"commensurable, commensurate, dimension, immense, incommensurable, incommensurate, measure
"|
